Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,25.2,29.6,27.4,85,7.3,7.4,10,310,6,NW
02-01-2023,24.8,30,26.3,91,16.6,1.9,9,310,4,NW
03-01-2023,23.6,31.2,26,90,12.2,3.8,7,320,3,NW
04-01-2023,23.8,33.8,27.7,82,2.6,5,4,340,2,SE
05-01-2023,24.4,33.6,28.5,82,2.6,8.7,4,70,2,NE
06-01-2023,24.4,33.4,28.4,78,3.1,4,7,300,2,W 
07-01-2023,22.6,32.5,27.8,76,0,7.2,4,100,2,SE
08-01-2023,21.5,31.8,26.8,77,3.4,8.2,5,320,2,SE
09-01-2023,21.7,31,26.2,80,0,9.7,5,310,2,SE
10-01-2023,21.2,31.6,,,0,9,5,310,2,SE
11-01-2023,22,31.8,26.7,76,0,9.9,4,310,2,SE
12-01-2023,21.6,31,26.4,78,0,9.5,5,320,2,SE
13-01-2023,23,31,27,82,0,9.8,5,310,2,NW
14-01-2023,24.3,30.8,27.2,84,0,11.3,6,330,3,NW
15-01-2023,24,30.8,27.1,85,0,11.2,5,310,2,NW
16-01-2023,24,31.2,27,86,1.2,6.3,5,320,2,NW
17-01-2023,24,30,26.6,89,29.4,4.6,5,320,2,SE
18-01-2023,23.5,32.4,26.7,86,8888,3.2,6,320,2,SE
19-01-2023,23.6,30.8,26.7,86,8888,6.1,5,330,2,SE
20-01-2023,23.5,31.6,26.2,89,0,6,5,320,2,SE
21-01-2023,23.8,32,27.4,81,0.9,5.2,5,300,2,SE
22-01-2023,23.2,31.8,26.7,81,0,6,4,320,2,SE
23-01-2023,24,32.2,27.5,81,0,8.3,6,310,2,SE
24-01-2023,23.3,32.2,27.1,78,0,11.2,5,310,2,SE
25-01-2023,23.8,31.2,25.2,91,0,10.3,4,310,2,SE
26-01-2023,23,31.7,25.5,91,22.2,3.3,4,320,2,SE
27-01-2023,22.8,30,26.4,88,52,4.5,6,310,2,SE
28-01-2023,23.4,30.6,25.7,91,0.8,3.1,6,320,2,NW
29-01-2023,24.4,30.2,26.6,89,2.5,4.8,4,340,2,NW
30-01-2023,24.7,31.2,26.7,91,0.2,0.8,4,300,2,SE
31-01-2023,23.8,31.5,26.3,90,4.4,2.3,4,300,2,SE
01-02-2023,23.6,30,26,90,17.7,3.8,3,320,2,SE
01-02-2023,23.6,30,26,90,17.7,3.8,3,320,2,SE
02-02-2023,24.2,29.4,25.1,95,0.9,1.7,3,300,1,SE
03-02-2023,24.4,30.6,26.3,89,10.2,1.2,5,320,2,SE
04-02-2023,24.3,30.6,25.7,94,2.8,1.3,6,320,2,NW
05-02-2023,24.6,30.4,26.5,88,1.9,1.4,6,320,3,NW
06-02-2023,24.4,31.2,27.1,80,0,1.9,5,320,2,SE
07-02-2023,23.6,29.6,25.4,92,0,1.2,6,300,3,NW
08-02-2023,23.2,30.3,25.6,91,65.3,1.7,6,320,2,NW
09-02-2023,23.4,29,26,91,42.9,1.1,5,330,3,NW
10-02-2023,24.2,30,,,0,1,4,300,2,NW
11-02-2023,24.2,30.4,27,89,15.1,1.7,7,310,2,NW
12-02-2023,23.7,30.8,,,0,3.2,4,310,2,SE
13-02-2023,23.2,31,26.2,88,3.8,5.4,3,130,2,SE
14-02-2023,23,31.8,26.6,85,8888,5.4,6,320,2,NW
15-02-2023,24.4,31,27,84,0,5.5,3,320,1,N 
16-02-2023,24,30.6,,,0,2.7,7,320,3,NW
17-02-2023,24.8,31,26.8,86,0,6.5,7,310,2,NW
18-02-2023,23.8,30.8,26.4,88,20.7,3,6,320,2,NW
19-02-2023,24.2,31.4,27.1,84,0,7.9,5,310,2,SE
20-02-2023,24.4,31.5,27.1,84,0,8.9,4,330,2,SE
21-02-2023,23.4,31,26.1,88,2.4,7.3,4,320,2,SE
22-02-2023,23.5,31.4,26.7,86,3.6,8,5,330,2,NW
23-02-2023,23.8,30.8,26.2,89,0,9.1,8,300,3,NW
24-02-2023,24.2,31.4,26.1,91,0.4,3.7,7,320,2,SE
25-02-2023,23.8,30.4,25.8,93,22.6,6.5,6,300,2,NW
26-02-2023,23.8,30.8,25.3,93,45,4.9,9,310,2,NW
27-02-2023,23.4,30.4,26.2,90,3.2,0.9,7,310,4,NW
28-02-2023,23.8,31,26.8,87,5.1,8.5,5,310,2,SE
01-03-2023,24.6,31,26.1,90,0,2.8,9,310,2,SE
01-03-2023,24.6,31,26.1,90,0,2.8,9,310,2,SE
02-03-2023,23,28.5,25.1,92,19.3,1.4,6,310,3,NW
03-03-2023,23.6,30,26.2,90,8.9,0.9,7,320,2,NW
04-03-2023,22.8,30.2,25.6,89,0,4.9,5,330,2,SE
05-03-2023,23,30.4,25.3,92,16,7.4,5,310,2,SE
06-03-2023,23.6,31.1,26.3,88,25.9,5.3,4,330,2,SE
07-03-2023,23.4,30.4,26.2,89,2.4,5,5,320,2,SE
08-03-2023,23,31.4,26.4,85,7.4,6.5,4,310,2,SE
09-03-2023,23.2,31.9,26.1,88,8888,5.9,4,310,2,SE
