Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,24,31,27.2,84,4.8,8.2,4,280,2,W 
02-01-2023,25,31.5,27.7,82,0,6.2,4,290,2,W 
03-01-2023,23.4,28.7,24.7,94,51.8,7.5,3,260,1,E 
04-01-2023,23.3,26.6,23.9,95,74.2,0,4,240,2,E 
05-01-2023,22.8,25.9,24.2,94,136,0,2,90,1,E 
06-01-2023,23.3,29.4,25.8,87,50,0,3,90,1,E 
07-01-2023,24.5,30.4,27.1,86,11.6,1.8,2,90,1,E 
08-01-2023,24,31.4,27.3,84,30,1.5,4,120,2,E 
09-01-2023,23.9,28.4,25.2,90,21.4,5.3,3,300,1,NE
10-01-2023,23.2,29,25.1,88,16.8,0,3,80,1,NE
11-01-2023,22.7,31.6,26.4,80,0.8,2.6,3,270,1,W 
12-01-2023,24.2,31.5,27,80,0,8.9,3,290,1,E 
13-01-2023,23,32.2,27.2,77,0,5.6,3,300,1,E 
14-01-2023,23.4,31.6,27.2,79,0,8.7,3,300,1,E 
15-01-2023,25,32,28.1,81,8888,9.9,3,280,2,W 
16-01-2023,24.7,32.6,28.2,79,8888,9.3,3,300,1,E 
17-01-2023,24,33,27.9,76,0,7.7,4,270,2,E 
18-01-2023,24.2,30.2,26.4,84,0.8,8.6,3,270,2,W 
19-01-2023,23.5,29,25.7,87,22.2,3.8,4,80,1,E 
20-01-2023,22.9,32,26.6,82,0.4,0.9,4,270,1,E 
21-01-2023,23.6,31.8,27,82,0,5.5,3,300,1,E 
22-01-2023,24.2,30.8,26.9,85,8888,5.6,4,300,2,E 
23-01-2023,,,,,,,,,,
24-01-2023,23.6,30.3,25.8,88,6.4,1.7,4,290,2,E 
25-01-2023,23.4,31,26.8,85,46,3,4,290,2,E 
26-01-2023,23.2,29.9,25.8,88,61.4,7.9,4,300,2,E 
27-01-2023,23.5,30.1,25.9,89,34.6,2,4,100,2,E 
28-01-2023,23.8,28.7,25.3,92,38,2.4,3,100,2,E 
29-01-2023,23.6,27.4,25.2,94,86,0,2,80,1,E 
30-01-2023,23.8,28.1,24.2,94,17.2,0,2,200,1,E 
31-01-2023,23.6,30.4,26,88,49.2,0,3,90,1,E 
01-02-2023,23,31.8,26,86,8888,2,3,290,2,E 
01-02-2023,23,31.8,26,86,8888,2,3,290,2,E 
02-02-2023,23.4,27.4,25.4,90,103.2,6.4,3,300,2,W 
03-02-2023,23.2,29.6,25.5,88,103.4,0,3,200,2,E 
04-02-2023,22.7,31.5,,,18.6,0.2,3,160,2,E 
05-02-2023,22.5,32.3,26.8,81,2.2,8.3,3,80,2,E 
06-02-2023,24,31.8,26.2,82,0,8.4,5,290,2,E 
07-02-2023,23.2,32.1,27.2,78,2,5.2,4,290,2,E 
08-02-2023,24,31.4,26.8,78,0,8,4,290,1,E 
09-02-2023,23.6,29.4,26.2,86,17.8,3.1,3,90,1,E 
10-02-2023,23.8,30.4,24.8,89,8888,0,5,230,1,E 
11-02-2023,23,32.3,25.7,81,7.8,0,3,290,1,E 
12-02-2023,23.4,31.5,25.8,88,9.4,4.3,4,90,2,E 
13-02-2023,23,26,23.9,95,166.8,2.9,3,270,2,W 
