Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,23.2,31.8,28.9,76,10.4,4.2,9,290,6,W 
02-01-2023,27.2,32.3,29.8,75,0,3,11,280,7,W 
03-01-2023,27.4,30,28.7,81,8888,7.2,10,250,6,W 
04-01-2023,24.6,31.4,28.5,86,28.2,1.3,9,280,6,W 
05-01-2023,27,31.8,29.5,76,2.1,6.5,11,240,7,W 
06-01-2023,25.8,,29.3,72,5.8,6.5,11,260,6,W 
07-01-2023,,,,,,,,,,
08-01-2023,26.4,32.2,29.2,74,,12.1,5,250,3,SW
09-01-2023,25,32.2,29.1,73,0,10.8,5,250,3,SW
10-01-2023,24.7,31.8,28.2,81,0,11.8,5,290,2,SW
11-01-2023,24.6,32.2,29.2,75,2,8.6,5,260,2,S 
12-01-2023,24.2,31.7,28.6,80,0,11.1,3,320,2,W 
13-01-2023,24,31.7,,,0,9.1,4,290,2,W 
14-01-2023,25.4,32,28.9,82,,10.2,6,250,3,W 
15-01-2023,26.7,32,29.5,78,3.1,9.9,6,270,3,W 
16-01-2023,25.5,32.8,28.7,80,8888,8.5,3,270,2,SE
17-01-2023,25,32.6,29.3,81,1,5.5,5,290,2,W 
18-01-2023,24.8,31.4,28.5,78,0,10.8,4,290,2,NW
19-01-2023,25,31.9,28.1,86,0.1,6.1,5,290,3,W 
20-01-2023,25,29.3,27.7,86,1.3,3.2,5,250,3,W 
21-01-2023,25.7,32.5,29.7,73,7.5,0,7,260,3,W 
22-01-2023,23.3,32.6,28.9,75,0,11,6,280,2,W 
23-01-2023,23.2,32.2,28.8,76,0,10.1,6,280,2,W 
24-01-2023,22.9,31.5,27.3,83,0,10.1,6,180,2,S 
25-01-2023,23.8,31.4,25.8,94,0,2.9,5,190,1,C 
26-01-2023,23.4,31.4,28.3,86,44.3,1.3,6,10,2,NE
27-01-2023,25.4,32,28.6,86,10.2,7.9,9,10,2,C 
