Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,22.2,30.8,25.7,88,3.5,6.5,5,10,1,C 
02-01-2023,23.2,30.6,26.5,88,0.2,0.2,8,30,1,C 
03-01-2023,23.4,30.4,25.8,89,10.3,0,4,350,1,C 
04-01-2023,23.2,30,24.9,92,2,0,4,40,1,C 
05-01-2023,23,32.6,26.8,86,15.2,0,4,340,1,C 
06-01-2023,23.4,34.2,28.3,80,8888,1.4,3,300,2,C 
07-01-2023,23.4,33.6,26.8,86,26.2,6.1,4,270,1,C 
08-01-2023,23.4,32.8,27.3,83,0.3,4.9,3,240,0,C 
09-01-2023,23.2,32.2,26.6,87,2.5,1.8,2,330,0,C 
10-01-2023,23.4,32.6,27.4,87,0.5,0.4,3,20,1,C 
11-01-2023,24.6,32.4,27.3,87,0,1,8,240,1,C 
12-01-2023,22.8,32.6,27.1,80,4.5,1.5,2,210,1,C 
13-01-2023,23,32.4,26.8,89,0,5,4,40,1,C 
14-01-2023,23.2,33.6,27.5,82,8.7,0.1,5,30,2,C 
15-01-2023,22.8,31.8,26.2,88,62.4,5.9,4,240,1,C 
16-01-2023,23,31.2,25.6,92,0,0.5,5,10,1,C 
17-01-2023,23,31,26,84,29.1,4.2,5,10,1,C 
18-01-2023,23,31.2,26.3,86,0,0.5,4,10,1,C 
19-01-2023,23.8,30.2,26.3,87,1,0.9,3,50,0,C 
20-01-2023,23,29.4,25.9,91,4,0,4,340,1,C 
21-01-2023,23.2,30.2,26.3,89,59.5,0,3,10,1,C 
22-01-2023,23.2,31.6,25.8,92,0.1,0.9,5,350,1,C 
23-01-2023,23.8,29.8,25.4,90,2.4,2.3,5,10,1,C 
24-01-2023,23.2,27.2,24.9,90,33.2,0,4,340,1,C 
25-01-2023,23.2,29,25.2,88,8888,0,4,350,1,C 
26-01-2023,23,29.8,25.9,86,8888,0,5,20,1,C 
27-01-2023,23.2,31.2,26.2,84,0,0,4,340,1,C 
28-01-2023,23.4,30.4,25.3,87,1.8,2.8,6,350,2,C 
29-01-2023,23.6,28.6,25.5,86,21,1.4,7,350,2,C 
30-01-2023,23,29.2,25.2,90,0,0.1,5,340,1,C 
31-01-2023,23.6,29.8,25.6,90,6.1,0.4,5,20,1,C 
01-02-2023,23,32.6,27.3,81,0,0,4,20,1,C 
01-02-2023,23,32.6,27.3,81,0,0,4,20,1,C 
02-02-2023,23.2,32.4,26.6,84,15.5,5.6,5,270,2,C 
03-02-2023,22.4,32.6,27,81,24.9,0.4,4,10,1,C 
04-02-2023,22.5,31.2,25.3,90,85,4.8,3,40,1,C 
05-02-2023,23,29.8,25.7,89,19.4,4.2,3,20,1,C 
06-02-2023,22.6,31.4,26.4,83,1,2.2,4,340,1,C 
07-02-2023,23.2,31.9,27.2,81,0,2.3,4,280,1,C 
08-02-2023,23.4,32.6,27.7,83,0,5.3,7,250,2,C 
09-02-2023,22.2,32.4,26.4,83,12.7,7,2,270,0,C 
10-02-2023,22.4,32.8,27,81,5,3.8,4,290,1,C 
11-02-2023,22.6,32.6,27.4,79,2.3,7.4,5,340,2,C 
12-02-2023,23.8,31.8,26.9,86,0.3,8.9,4,60,1,C 
13-02-2023,23.8,32,27.9,82,0,1.4,2,40,0,C 
14-02-2023,23.6,33.4,28,78,0,4.3,4,50,2,NE
15-02-2023,23.4,31.8,26.4,84,4.7,8.6,5,30,1,C 
16-02-2023,23.4,31.4,27.4,78,0,3.6,5,340,1,C 
17-02-2023,22.4,33,26.9,78,0,6.4,6,10,2,C 
18-02-2023,22.6,32.9,27.7,78,0,8.8,4,20,1,C 
19-02-2023,23.8,31.8,27.5,84,0,7.8,4,10,1,C 
20-02-2023,24.8,31.4,26.4,86,8888,3.7,3,360,1,C 
21-02-2023,24,31.2,26.8,82,1.9,1.7,7,220,2,C 
22-02-2023,23.5,31.4,25.8,88,31.7,5.2,4,40,1,C 
23-02-2023,23.4,30,25.8,88,19.4,3.2,5,20,1,C 
24-02-2023,23.6,29,24.9,93,1.5,1.3,4,360,1,C 
25-02-2023,22.5,30.4,25.8,86,14,0.1,4,20,1,C 
26-02-2023,22.8,30.4,25.8,85,0,3.2,4,40,1,C 
27-02-2023,22.5,28.8,24.8,94,2.3,3.5,4,360,1,C 
28-02-2023,22.6,30,25.6,94,23,0.7,4,10,1,C 
01-03-2023,23,28,24.9,90,3.7,0,3,310,1,C 
01-03-2023,23,28,24.9,90,3.7,0,3,310,1,C 
02-03-2023,22.7,31.6,26.5,86,0.1,0,5,50,1,C 
03-03-2023,23.2,27.2,24.8,94,0,6.5,4,10,1,C 
04-03-2023,23,28.4,24.9,94,8888,0,4,10,1,C 
05-03-2023,22.2,30.6,25.3,90,1.5,0.8,4,20,1,C 
06-03-2023,21.6,31.9,26,86,0.4,5.7,5,80,1,C 
07-03-2023,21.8,31.2,26.4,87,0,8,4,70,1,C 
08-03-2023,22.8,31,26.1,88,8888,4.4,5,30,1,C 
09-03-2023,22.8,32.6,27.4,84,4.3,6,4,10,1,C 
10-03-2023,23,33.2,26.8,88,0,7,5,60,1,C 
11-03-2023,24,32,26.1,91,8888,6.4,5,70,1,C 
12-03-2023,23.8,32.2,27.2,88,15.4,2.2,3,80,1,C 
13-03-2023,24.2,31,27,88,12.6,5.7,4,70,1,C 
14-03-2023,23,30.2,25.3,91,0.4,5.7,5,10,2,C 
15-03-2023,23.4,29.6,26.8,88,0.7,1.7,2,50,1,C 
16-03-2023,23,30.3,26.2,88,8888,0.3,3,50,1,C 
17-03-2023,23.2,31.8,27.3,87,0,1.4,3,30,1,C 
18-03-2023,23.8,33,27.1,88,0,4,3,60,1,C 
19-03-2023,23.6,32.6,27.6,86,12,8.1,4,120,1,C 
20-03-2023,24.2,31.8,26.9,90,0.5,5.7,4,200,1,C 
21-03-2023,22,31.6,26.2,87,82.1,6.2,4,170,1,C 
22-03-2023,22,33.6,27.3,89,8888,4.4,2,50,0,C 
23-03-2023,23.6,34,26.4,92,0,7.5,4,130,1,C 
24-03-2023,23.8,33.7,26.4,90,16.2,6.3,4,80,1,C 
25-03-2023,23.9,31.8,27.2,88,1.4,5.3,3,60,1,C 
26-03-2023,23.6,33.1,27.7,87,0,3.7,6,70,1,C 
27-03-2023,22.6,30.2,25.7,92,19.4,4.4,3,190,1,C 
28-03-2023,22.8,33.6,27.5,86,8888,1.6,3,10,0,C 
29-03-2023,23.6,33.2,27.7,90,28.5,4.7,3,240,1,C 
30-03-2023,24.2,31.8,26.2,92,0,5.8,6,250,1,C 
31-03-2023,22.9,33,27,88,8888,3.9,3,40,0,C 
01-04-2023,23,32,26.4,91,0,6.5,4,240,0,C 
01-04-2023,23,32,26.4,91,0,6.5,4,240,0,C 
02-04-2023,24,33.2,27.6,87,1.1,2.2,3,40,1,C 
03-04-2023,24.1,29.2,26.4,91,3.2,5.5,3,310,1,C 
04-04-2023,23.7,34.6,27.8,86,5.9,0.8,10,240,1,C 
05-04-2023,23.6,33,26,92,26.8,7.3,4,30,1,C 
06-04-2023,22.8,33,27.3,88,6.5,4.5,3,210,1,C 
07-04-2023,22.6,33.2,27.1,88,14.5,7.7,3,60,1,C 
08-04-2023,23,33.6,27.7,86,29.7,6.1,5,20,2,C 
09-04-2023,21,28.8,24.7,96,33.7,8.3,3,210,1,C 
10-04-2023,22.2,30.2,26,90,60.1,0,3,270,0,C 
11-04-2023,22.6,33.2,27.4,86,3,1.7,2,40,0,C 
12-04-2023,22.8,34.8,28.2,86,0,7.3,3,310,1,C 
13-04-2023,23.6,34.4,28,86,0,8.4,3,340,1,C 
14-04-2023,23.8,33.2,28.2,89,0,9.2,5,190,1,C 
15-04-2023,23.7,31,26.1,96,53.6,1.3,3,230,1,C 
16-04-2023,23.4,34.4,28,85,31.9,1.9,4,350,1,C 
17-04-2023,23.8,34.2,28,85,1.6,8.7,3,40,1,C 
18-04-2023,23.8,31,27.1,93,0,8.8,3,110,1,C 
19-04-2023,24.4,33.2,28.2,86,0,2.6,5,90,1,C 
20-04-2023,24.2,32.8,27.4,90,1.2,6.1,3,170,1,C 
21-04-2023,24.2,33.8,28.2,86,11.2,4.4,3,250,0,C 
22-04-2023,23.4,34.4,27.6,90,0,7.5,5,240,1,C 
23-04-2023,25,31.8,26.5,93,53.7,6,3,210,1,C 
24-04-2023,23.6,33.2,27.5,88,0.3,2.8,3,130,1,C 
25-04-2023,23.8,33.2,27.7,87,0,8,3,180,1,C 
26-04-2023,24,31.6,26.6,92,3.8,8,5,210,1,C 
27-04-2023,24.2,31,26.1,94,11.2,7.6,3,220,1,C 
28-04-2023,24.2,33.8,28.1,88,15.2,5.3,3,230,1,C 
29-04-2023,24.2,31.2,27.5,90,0.1,6,2,210,0,C 
30-04-2023,24.6,32.5,28.4,90,0,1.9,5,240,2,C 
01-05-2023,24,32.4,27.2,90,4.7,4.2,3,220,1,C 
01-05-2023,24,32.4,27.2,90,4.7,4.2,3,220,1,C 
02-05-2023,24,34.6,28.9,84,0,3.2,3,240,1,C 
03-05-2023,24.4,33.2,27.7,89,1.8,8.5,4,50,1,C 
04-05-2023,24.4,33.4,27.8,90,0,5.1,3,220,1,C 
05-05-2023,25.4,32.6,27.4,94,27,5.6,3,230,1,C 
06-05-2023,24.2,32.4,27.7,89,3,3.4,2,200,1,C 
07-05-2023,23.8,32.2,27.6,90,24.6,3.4,5,230,1,C 
08-05-2023,24,34,26.9,90,0,2,4,280,1,C 
09-05-2023,23.5,34,28.2,85,16.2,4.5,3,230,1,C 
10-05-2023,23.8,35,29.5,80,0,6.7,3,150,1,C 
