Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,22,33.8,27.9,71,0,0.8,9,340,3,N 
02-01-2023,22.4,33.2,27.6,78,0,3.2,10,330,2,E 
03-01-2023,21.4,36.2,28.4,70,0.1,3.8,7,260,2,W 
04-01-2023,21.6,35.6,29.8,61,8888,7.3,6,270,1,C 
05-01-2023,22.6,36.4,29.7,60,0,5.1,5,330,2,SW
06-01-2023,22.8,35.4,,,0,4.8,5,250,2,NE
07-01-2023,24.2,34.6,28.8,72,0,3.5,8,290,3,C 
08-01-2023,23.4,33.2,26.8,80,0,2.9,10,350,2,C 
09-01-2023,22.4,27.4,24.8,88,20.2,2.8,5,330,1,E 
10-01-2023,20.8,27.4,24.2,92,3.2,0,5,350,1,S 
11-01-2023,21.2,30.4,25.9,84,5.1,0,5,320,1,C 
12-01-2023,21.2,33,27,78,8888,1.5,9,360,2,C 
13-01-2023,21.8,33.8,27.3,76,,2.8,10,350,3,N 
14-01-2023,21.2,32.8,26.3,78,7.7,6.5,8,350,2,N 
15-01-2023,20.6,34.2,27.4,75,0,6.8,8,300,3,C 
16-01-2023,20.3,33.8,27.8,75,0,9.6,8,340,2,C 
17-01-2023,22.2,34,28.1,74,0,6.4,8,350,4,N 
18-01-2023,23,31.8,27.1,81,2.6,7.4,7,350,3,N 
19-01-2023,22.4,32,27.3,79,8888,3.1,8,350,2,C 
20-01-2023,21.2,33,26.8,78,0.1,4.3,9,350,2,C 
21-01-2023,22.8,31.4,26.7,79,0.5,6.4,8,340,2,NW
22-01-2023,22.2,32.2,27.1,82,0.3,1.4,8,340,3,N 
23-01-2023,23,33.4,27.7,77,0,8.5,6,230,2,C 
24-01-2023,23,32,27.6,78,8888,4.7,9,340,3,C 
25-01-2023,23.4,32,27.2,79,8888,4.8,8,350,3,N 
26-01-2023,22.6,29,26.3,80,0,1.5,8,350,2,NW
27-01-2023,21.6,27.2,24.4,90,8888,0,6,320,1,C 
28-01-2023,21.2,31,26.3,79,12.2,0,5,330,1,C 
29-01-2023,22,31.4,26.6,79,8888,0.6,9,330,2,E 
30-01-2023,22.4,32,26.6,78,0,1,5,310,2,E 
31-01-2023,21.8,33.2,27.3,77,0,1,9,350,4,N 
01-02-2023,22,29.8,26.1,84,0.1,7.6,8,10,2,C 
01-02-2023,22,29.8,26.1,84,0.1,7.6,8,10,2,C 
02-02-2023,21.4,29.8,25.7,87,13.7,0.9,5,360,1,N 
03-02-2023,21.4,30,,,39.2,0.8,8,30,2,SE
04-02-2023,21.4,29.8,25.7,88,8888,0.2,5,170,2,N 
05-02-2023,22.2,30.6,26.7,82,0.5,1.7,6,10,1,C 
06-02-2023,21,31.6,,,0,1.8,5,360,1,C 
07-02-2023,20,32.8,,,2.5,4.4,10,350,3,N 
08-02-2023,20.4,31.6,27.3,78,0,7,9,340,3,E 
09-02-2023,21.4,30.2,25.4,85,8888,2.5,5,40,2,E 
10-02-2023,21,32.6,26.8,76,8888,0.8,10,350,3,C 
11-02-2023,21,33.2,27.3,78,0,9,8,340,3,N 
12-02-2023,21.2,29.4,25.8,81,0,7.5,5,360,2,C 
13-02-2023,21,30.2,26,82,1.3,0.7,3,340,1,S 
14-02-2023,23.2,34.2,28.7,66,8888,0.2,5,240,2,W 
15-02-2023,21.4,33,26.9,77,0.5,2.3,9,360,3,N 
16-02-2023,21.4,31.2,27.4,70,1.6,6,6,350,2,NW
17-02-2023,21.6,32.8,26.3,80,0.2,1.8,8,340,2,N 
18-02-2023,22.2,32.6,27.2,78,3.4,4.1,8,340,3,C 
19-02-2023,22.2,33.4,28,81,0,7.9,10,350,3,N 
20-02-2023,23,30.2,26.4,82,0,7.7,9,360,2,SE
21-02-2023,21.8,33,27.4,80,0.6,1.5,8,340,3,E 
22-02-2023,21.6,33,26.8,81,8888,4.5,10,350,2,C 
23-02-2023,21.6,31.8,27.3,81,8888,3.3,7,330,3,N 
24-02-2023,22.6,33,26.2,82,0,4.3,7,360,2,C 
25-02-2023,20,32.8,26.6,76,0.3,1.5,10,360,3,N 
26-02-2023,22.4,33.4,27.8,75,0,7.3,8,340,2,C 
27-02-2023,22.2,32,27.5,76,0,4.8,7,320,2,E 
28-02-2023,21.8,34.4,26.6,84,0,0.3,9,330,2,S 
01-03-2023,22,31.8,26,87,7.7,4.4,9,320,2,E 
01-03-2023,22,31.8,26,87,7.7,4.4,9,320,2,E 
02-03-2023,20.8,33.6,,,8888,2.5,9,350,2,C 
03-03-2023,20.6,34,27.5,72,0,6.4,9,330,3,N 
04-03-2023,21,31.4,27.1,83,8888,5.8,9,350,3,E 
05-03-2023,21.6,28.8,25.8,82,2,1.5,5,340,2,C 
06-03-2023,21.2,33.8,27.1,76,0.7,0.3,8,330,2,C 
07-03-2023,21.2,34,27.4,76,0,6.4,9,350,4,N 
08-03-2023,21.4,33.8,27.4,80,9.5,8,9,360,3,N 
09-03-2023,21.8,33.6,26.9,85,8888,9.2,9,340,2,E 
10-03-2023,20.8,34.2,27.5,77,0,4.5,11,340,3,C 
11-03-2023,20.8,34.4,27.6,80,1.8,6.2,9,350,3,N 
12-03-2023,22.4,31.8,26.9,84,0,6.9,10,350,4,S 
13-03-2023,21.6,33.2,27.1,80,1.1,3,9,350,3,N 
14-03-2023,22.4,32.2,26.8,80,0.3,6.4,11,350,3,E 
15-03-2023,21.6,33.6,26.5,84,3.2,4.5,8,350,2,NE
16-03-2023,21.4,33.8,27.2,79,8888,5.3,8,340,3,N 
17-03-2023,22.4,32.6,27.5,81,3.2,5,7,340,3,NW
18-03-2023,22.6,31.8,27.2,80,0,1.8,6,320,2,NW
19-03-2023,21.8,35.4,28.3,76,0.6,3.5,9,330,4,N 
20-03-2023,21.6,34.4,27.8,76,0,7.9,10,340,3,SE
21-03-2023,22,32.6,26.8,84,0.3,3.2,7,10,3,N 
22-03-2023,22.6,33,28.1,78,4.3,5.3,6,360,2,C 
23-03-2023,22.4,33.8,26.8,80,1,4.8,8,360,2,N 
24-03-2023,20.6,35,28.3,75,2.6,4.1,10,340,3,E 
25-03-2023,21.8,34.4,28.2,77,8888,7.6,8,350,3,N 
26-03-2023,24.2,33.4,27.3,79,1.6,9.2,10,360,3,N 
27-03-2023,22.6,33.4,27.2,80,5.1,2.7,8,340,4,N 
28-03-2023,22.8,32.8,,,0,6.5,10,350,3,S 
29-03-2023,21.8,32.4,26.6,79,6.6,4.5,9,340,3,N 
30-03-2023,21.8,32,27,84,0,5.4,8,350,3,C 
31-03-2023,23.4,33.2,27.7,76,0.8,4.5,7,310,3,E 
01-04-2023,22.8,31.6,26.2,84,0,4.8,7,330,2,NW
01-04-2023,22.8,31.6,26.2,84,0,4.8,7,330,2,NW
02-04-2023,24,31.8,27.6,79,0,2,9,350,3,N 
03-04-2023,22.6,33.8,27.7,74,8888,0.6,9,360,3,N 
04-04-2023,22.8,31.4,26.5,85,1.4,8.7,10,340,2,C 
05-04-2023,21.4,31.8,26.3,81,13.3,2,7,330,2,NW
06-04-2023,22,32,27.2,78,0,3.4,8,340,3,NW
07-04-2023,23.4,27.6,25.1,88,8888,7.5,5,20,2,E 
08-04-2023,22,31.8,26.3,82,11.5,0,7,20,3,N 
09-04-2023,21.8,32.6,27.1,82,1.6,8.7,8,350,3,C 
10-04-2023,22.8,30.6,26.3,88,8888,7.1,9,340,3,N 
11-04-2023,23.2,33.6,27.9,75,0.3,4,7,350,3,N 
12-04-2023,22.2,34.4,27.8,77,0,7.5,10,350,3,N 
13-04-2023,23.2,34.4,28.3,76,0,7.9,9,330,4,NW
14-04-2023,23.4,32,27.3,81,0.2,7.6,9,340,2,E 
15-04-2023,23.2,34.2,27.7,74,0.3,0,9,350,3,N 
16-04-2023,22.4,33.6,27.2,80,0,5.2,9,30,2,N 
17-04-2023,22.6,35.4,28.2,72,0.1,5.1,10,360,3,N 
18-04-2023,23.2,34.6,28.6,74,0,10.4,8,340,3,E 
19-04-2023,23,35.6,28.8,74,0,7,10,350,4,NW
20-04-2023,23.6,35.4,29.8,67,0,9.6,9,350,3,N 
21-04-2023,23.2,36.2,29.2,69,0,9.6,9,340,4,N 
22-04-2023,24,35,28.6,73,7.9,9,8,320,3,E 
23-04-2023,22.2,35.6,28.2,76,8888,5.7,9,330,3,NW
24-04-2023,23.8,35.6,29,71,0.1,7.4,9,350,3,E 
25-04-2023,24.4,35.4,28.9,72,0,8.7,10,340,3,N 
26-04-2023,22.4,35.2,28.5,71,0,6.2,9,360,4,N 
27-04-2023,22.6,34.4,28.2,76,6.5,8,8,340,3,N 
28-04-2023,23.4,35.4,28.8,73,0,9,8,330,3,N 
29-04-2023,24.4,34.6,28.8,76,8888,5.2,8,350,3,N 
30-04-2023,23.4,30,26.9,83,8888,4.6,7,350,2,E 
01-05-2023,23,35.2,28.7,76,8888,0.4,8,350,3,N 
01-05-2023,23,35.2,28.7,76,8888,0.4,8,350,3,N 
02-05-2023,24.4,34.8,28.8,74,0,9,11,350,3,NW
03-05-2023,25.2,34.8,29.4,73,0,6.1,10,340,4,N 
04-05-2023,23.8,32.6,29.3,77,0.4,8,8,350,3,N 
05-05-2023,22.6,36.8,28.9,73,8888,4.5,9,340,3,N 
06-05-2023,24.2,36.4,29.5,70,8888,5.6,8,340,3,E 
07-05-2023,24.8,35,29.3,75,8888,7.3,8,340,3,N 
08-05-2023,23.2,32,27.3,84,15.2,4.5,11,340,2,N 
09-05-2023,23.4,32,26.3,84,1,3,9,330,2,S 
10-05-2023,21.4,34.2,26.9,80,8888,2,10,350,2,SE
11-05-2023,23.4,35.6,28.8,72,0.5,5.1,9,350,4,N 
12-05-2023,21.8,34.4,28.8,77,14.8,8.9,7,330,2,NW
13-05-2023,22,34.6,29.1,78,0,7,9,340,2,N 
14-05-2023,24,34.6,28.4,78,0,8.5,9,340,3,N 
15-05-2023,23.6,34.2,28.2,76,0,5.1,11,350,3,E 
16-05-2023,24,34.2,29.3,70,0,10.2,8,340,2,C 
17-05-2023,23.2,31,27.3,81,0,10.1,9,360,2,N 
18-05-2023,21.6,34.4,,,0,0,7,330,3,NW
19-05-2023,23.2,31.6,26.2,85,0,6.2,10,360,2,E 
20-05-2023,22.8,33.8,27.8,76,0.1,2.8,7,340,3,N 
21-05-2023,22.8,34,28.6,74,0,9.1,8,350,2,C 
22-05-2023,23,34.4,28.4,75,0,5.9,10,350,3,N 
23-05-2023,22,35.4,28.5,71,0,5.5,9,340,3,N 
24-05-2023,23.6,34,28.7,74,0,8.5,9,340,3,NW
25-05-2023,23.2,35.4,28.8,74,8888,3.6,8,360,3,S 
26-05-2023,20.8,32.2,27,82,28.8,6,10,340,2,C 
27-05-2023,21.2,34,27.9,79,0,1,8,350,3,E 
28-05-2023,22.8,34.4,28.6,78,0,9.9,8,330,3,NW
29-05-2023,23.4,34.6,29.1,75,0,7.8,9,340,3,N 
30-05-2023,23.8,34.2,,,8888,8.2,6,330,2,S 
31-05-2023,22.2,34.4,29.1,74,5,5.7,8,350,3,N 
01-06-2023,22.2,33.4,28,82,0.9,6.2,6,320,2,E 
01-06-2023,22.2,33.4,28,82,0.9,6.2,6,320,2,E 
02-06-2023,23,34.8,29.2,74,0,3.5,9,340,3,N 
03-06-2023,22.8,35.4,29.4,72,0,9,10,350,3,N 
04-06-2023,23.8,33.8,,,,9.6,6,360,2,N 
05-06-2023,22.2,34.8,27.2,80,8888,5.5,7,350,3,N 
06-06-2023,22.4,34.4,27.7,82,1.6,5.2,9,350,2,S 
07-06-2023,22.8,35.4,28.3,75,0.2,4.5,7,330,3,S 
08-06-2023,22,34.2,29,71,0.9,7.1,8,330,3,E 
09-06-2023,22.4,34.2,29,72,0,9.3,8,340,3,N 
10-06-2023,22.4,34.8,28.7,76,0,9.5,9,340,3,E 
11-06-2023,23,35.6,28.2,79,0.1,5.9,8,340,2,S 
12-06-2023,21.6,32.6,27.5,79,23.5,5.5,7,350,2,E 
13-06-2023,22.6,31.4,27,85,7,3.8,4,210,1,S 
14-06-2023,22.8,33.4,27.3,81,1.7,2.1,7,360,2,C 
15-06-2023,22.5,30,26.7,84,1.1,2,5,10,1,C 
16-06-2023,22.6,32.4,27,83,8888,0.7,9,340,2,E 
17-06-2023,22.2,28.4,26.2,88,1.9,5,2,50,1,C 
18-06-2023,21.8,31.8,26.2,85,8888,0,9,350,2,SE
19-06-2023,22.2,32.8,26.2,84,1,2.3,5,40,1,E 
20-06-2023,21.7,32.4,26.7,80,0.2,2.2,8,350,3,N 
21-06-2023,20.8,32.6,26.9,76,0.7,2.3,7,330,2,NW
22-06-2023,21.2,34.8,28.2,75,0.7,0.5,9,350,3,N 
23-06-2023,22.4,32.4,27.7,79,8888,6.8,7,350,2,N 
24-06-2023,22.2,33.8,28.1,75,0,2.5,8,330,2,N 
25-06-2023,22.2,34.4,28.7,76,0,4.8,8,340,2,N 
26-06-2023,21.8,35.4,28.9,73,0,3.4,9,330,3,N 
27-06-2023,22.2,33.4,27.9,76,0,5.7,7,350,3,N 
28-06-2023,21.6,33.8,28.2,74,0,4.6,9,340,3,N 
29-06-2023,21.8,34.2,28.5,76,8888,6,7,340,3,N 
30-06-2023,22,32.8,28,81,0.5,5.5,6,340,2,NW
01-07-2023,22.1,34.8,28.3,75,0,4.8,7,320,2,C 
01-07-2023,22.1,34.8,28.3,75,0,4.8,7,320,2,C 
02-07-2023,21.4,35,28,80,8888,7,7,360,3,E 
03-07-2023,23.2,32.2,26.4,83,8888,8.2,7,330,3,N 
04-07-2023,21.2,33.6,27.1,79,4.9,2.7,8,330,2,E 
05-07-2023,21.4,33.6,27.6,76,0,2.4,8,350,3,N 
06-07-2023,23.6,32.6,27.1,83,8888,3.4,6,360,2,NE
07-07-2023,18,34.4,27.9,80,16.1,3.5,6,310,2,E 
08-07-2023,22.6,33.5,27.9,80,0.6,5.2,9,340,2,N 
09-07-2023,23,33.2,26.9,78,0,5.7,7,340,2,N 
